row_id,short_title,long_title
72,Int inf e coli spcf NEC,Intestinal infection due to other intestinal E. coli infections
73,Arizona enteritis,Intestinal infection due to arizona group of paracolon bacilli
74,Aerobacter enteritis,Intestinal infection due to aerobacter aerogenes
75,Proteus enteritis,Intestinal infection due to proteus (mirabilis) (morganii)
76,Staphylococc enteritis,Intestinal infection due to staphylococcus
77,Pseudomonas enteritis,Intestinal infection due to pseudomonas
78,Int infec campylobacter,Intestinal infection due to campylobacter
79,Int inf yrsnia entrcltca,Intestinal infection due to yersinia enterocolitica
80,Int inf clstrdium dfcile,Intestinal infection due to Clostridium difficile
81,Intes infec oth anerobes,Intestinal infection due to other anaerobes
82,Int inf oth grm neg bctr,Intestinal infection due to other gram-negative bacteria
83,Bacterial enteritis NEC,Intestinal infection due to other organisms
84,Bacterial enteritis NOS,"Bacterial enteritis, unspecified"
85,Intes infec rotavirus,Enteritis due to rotavirus
86,Intes infec adenovirus,Enteritis due to adenovirus
87,Int inf norwalk virus,Enteritis due to norwalk virus
88,Int inf oth sml rnd vrus,Enteritis due to other small round viruses [SRV's]
89,Enteritis d/t calicivirs,Enteritis due to calicivirus
90,Intes infec astrovirus,Enteritis due to astrovirus
91,Int inf enterovirus NEC,Enteritis due to enterovirus nec
92,Other viral intes infec,Enteritis due to other viral enteritis
93,Viral enteritis NOS,"Intestinal infection due to other organism, not elsewhere classified"
94,Infectious enteritis NOS,"Infectious colitis, enteritis, and gastroenteritis"
95,Enteritis of infect orig,"Colitis, enteritis, and gastroenteritis of presumed infectious origin"
96,Infectious diarrhea NOS,Infectious diarrhea
97,Diarrhea of infect orig,Diarrhea of presumed infectious origin
98,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
99,Prim TB complex-no exam,"Primary tuberculous infection, bacteriological or histological examination not done"
100,Prim TB complex-exm unkn,"Primary tuberculous infection, bacteriological or histological examination unknown (at present)"
101,Prim TB complex-micro dx,"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy"
102,Prim TB complex-cult dx,"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
103,Prim TB complex-histo dx,"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
104,Prim TB complex-oth test,"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
105,Prim TB pleurisy-unspec,"Tuberculous pleurisy in primary progressive tuberculosis, unspecified"
106,Prim TB pleurisy-no exam,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done"
107,Prim TB pleur-exam unkn,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
108,Prim TB pleuris-micro dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
109,Prim TB pleurisy-cult dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
110,Prim TB pleuris-histo dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
111,Prim TB pleuris-oth test,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
112,Prim prog TB NEC-unspec,"Other primary progressive tuberculosis, unspecified"
113,Prim prog TB NEC-no exam,"Other primary progressive tuberculosis, bacteriological or histological examination not done"
114,Prim pr TB NEC-exam unkn,"Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
115,Prim prg TB NEC-micro dx,"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
116,Prim prog TB NEC-cult dx,"Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
117,Prim prg TB NEC-histo dx,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
118,Prim prg TB NEC-oth test,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
119,Primary TB NOS-unspec,"Primary tuberculous infection, unspecified, unspecified"
120,Primary TB NOS-no exam,"Primary tuberculous infection, unspecified, bacteriological or histological examination not done"
121,Primary TB NOS-exam unkn,"Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)"
122,Primary TB NOS-micro dx,"Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy"
123,Primary TB NOS-cult dx,"Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
124,Primary TB NOS-histo dx,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
125,Primary TB NOS-oth test,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
126,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
127,TB lung infiltr-no exam,"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done"
128,TB lung infiltr-exm unkn,"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)"
129,TB lung infiltr-micro dx,"Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy"
130,TB lung infiltr-cult dx,"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
131,TB lung infiltr-histo dx,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
132,TB lung infiltr-oth test,"Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
133,TB lung nodular-unspec,"Tuberculosis of lung, nodular, unspecified"
134,TB lung nodular-no exam,"Tuberculosis of lung, nodular, bacteriological or histological examination not done"
135,TB lung nodul-exam unkn,"Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)"
136,TB lung nodular-micro dx,"Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy"
137,TB lung nodular-cult dx,"Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
138,TB lung nodular-histo dx,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
139,TB lung nodular-oth test,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
140,TB lung w cavity-unspec,"Tuberculosis of lung with cavitation, unspecified"
141,TB lung w cavity-no exam,"Tuberculosis of lung with cavitation, bacteriological or histological examination not done"
142,TB lung cavity-exam unkn,"Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)"
143,TB lung w cavit-micro dx,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy"
144,TB lung w cavity-cult dx,"Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
145,TB lung w cavit-histo dx,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
146,TB lung w cavit-oth test,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
147,TB of bronchus-unspec,"Tuberculosis of bronchus, unspecified"
148,TB of bronchus-no exam,"Tuberculosis of bronchus, bacteriological or histological examination not done"
149,TB of bronchus-exam unkn,"Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)"
150,TB of bronchus-micro dx,"Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy"
151,TB of bronchus-cult dx,"Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture"
152,TB of bronchus-histo dx,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
153,TB of bronchus-oth test,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
154,TB lung fibrosis-unspec,"Tuberculous fibrosis of lung, unspecified"
155,TB lung fibrosis-no exam,"Tuberculous fibrosis of lung, bacteriological or histological examination not done"
156,TB lung fibros-exam unkn,"Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)"
157,TB lung fibros-micro dx,"Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy"
158,TB lung fibrosis-cult dx,"Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
159,TB lung fibros-histo dx,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
160,TB lung fibros-oth test,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
161,TB bronchiectasis-unspec,"Tuberculous bronchiectasis, unspecified"
162,TB bronchiect-no exam,"Tuberculous bronchiectasis, bacteriological or histological examination not done"
163,TB bronchiect-exam unkn,"Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)"
164,TB bronchiect-micro dx,"Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy"
165,TB bronchiect-cult dx,"Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
166,TB bronchiect-histo dx,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
167,TB bronchiect-oth test,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
168,TB pneumonia-unspec,"Tuberculous pneumonia [any form], unspecified"
169,TB pneumonia-no exam,"Tuberculous pneumonia [any form], bacteriological or histological examination not done"
170,TB pneumonia-exam unkn,"Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)"
171,TB pneumonia-micro dx,"Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy"
172,TB pneumonia-cult dx,"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
173,TB pneumonia-histo dx,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
174,TB pneumonia-oth test,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
175,TB pneumothorax-unspec,"Tuberculous pneumothorax, unspecified"
176,TB pneumothorax-no exam,"Tuberculous pneumothorax, bacteriological or histological examination not done"
177,TB pneumothorx-exam unkn,"Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)"
178,TB pneumothorax-micro dx,"Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy"
179,TB pneumothorax-cult dx,"Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
180,TB pneumothorax-histo dx,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
181,TB pneumothorax-oth test,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
182,Pulmonary TB NEC-unspec,"Other specified pulmonary tuberculosis, unspecified"
183,Pulmonary TB NEC-no exam,"Other specified pulmonary tuberculosis, bacteriological or histological examination not done"
184,Pulmon TB NEC-exam unkn,"Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)"
185,Pulmon TB NEC-micro dx,"Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy"
186,Pulmon TB NEC-cult dx,"Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
187,Pulmon TB NEC-histo dx,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
188,Pulmon TB NEC-oth test,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
189,Pulmonary TB NOS-unspec,"Pulmonary tuberculosis, unspecified, unspecified"
190,Pulmonary TB NOS-no exam,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done"
191,Pulmon TB NOS-exam unkn,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)"
192,Pulmon TB NOS-micro dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy"
193,Pulmon TB NOS-cult dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
194,Pulmon TB NOS-histo dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
195,Pulmon TB NOS-oth test,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
196,TB pleurisy-unspec,"Tuberculous pleurisy, unspecified"
197,TB pleurisy-no exam,"Tuberculous pleurisy, bacteriological or histological examination not done"
198,TB pleurisy-exam unkn,"Tuberculous pleurisy, bacteriological or histological examination unknown (at present)"
199,TB pleurisy-micro dx,"Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy"
200,TB pleurisy-cult dx,"Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
201,TB pleurisy-histolog dx,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
202,TB pleurisy-oth test,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
203,TB thoracic nodes-unspec,"Tuberculosis of intrathoracic lymph nodes, unspecified"
204,TB thorax node-no exam,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done"
205,TB thorax node-exam unkn,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)"
206,TB thorax node-micro dx,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy"
207,TB thorax node-cult dx,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
208,TB thorax node-histo dx,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
209,TB thorax node-oth test,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
210,Isol tracheal tb-unspec,"Isolated tracheal or bronchial tuberculosis, unspecified"
211,Isol tracheal tb-no exam,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done"
212,Isol trach tb-exam unkn,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)"
213,Isolat trach tb-micro dx,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy"
214,Isol tracheal tb-cult dx,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
215,Isolat trach tb-histo dx,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
216,Isolat trach tb-oth test,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
217,TB laryngitis-unspec,"Tuberculous laryngitis, unspecified"
218,TB laryngitis-no exam,"Tuberculous laryngitis, bacteriological or histological examination not done"
219,TB laryngitis-exam unkn,"Tuberculous laryngitis, bacteriological or histological examination unknown (at present)"
220,TB laryngitis-micro dx,"Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy"
221,TB laryngitis-cult dx,"Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
222,TB laryngitis-histo dx,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
223,TB laryngitis-oth test,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
224,Resp TB NEC-unspec,"Other specified respiratory tuberculosis, unspecified"
225,Resp TB NEC-no exam,"Other specified respiratory tuberculosis, bacteriological or histological examination not done"
226,Resp TB NEC-exam unkn,"Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)"
227,Resp TB NEC-micro dx,"Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy"
228,Resp TB NEC-cult dx,"Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
229,Resp TB NEC-histo dx,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
230,Resp TB NEC-oth test,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
231,TB meningitis-unspec,"Tuberculous meningitis, unspecified"
232,TB meningitis-no exam,"Tuberculous meningitis, bacteriological or histological examination not done"
233,Cholera d/t vib cholerae,Cholera due to vibrio cholerae
234,Cholera d/t vib el tor,Cholera due to vibrio cholerae el tor
235,Cholera NOS,"Cholera, unspecified"
236,Typhoid fever,Typhoid fever
237,Paratyphoid fever a,Paratyphoid fever A
238,Paratyphoid fever b,Paratyphoid fever B
239,Paratyphoid fever c,Paratyphoid fever C
240,Paratyphoid fever NOS,"Paratyphoid fever, unspecified"
241,Salmonella enteritis,Salmonella gastroenteritis
242,Salmonella septicemia,Salmonella septicemia
243,Local salmonella inf NOS,"Localized salmonella infection, unspecified"
244,Salmonella meningitis,Salmonella meningitis
245,Salmonella pneumonia,Salmonella pneumonia
246,Salmonella arthritis,Salmonella arthritis
247,Salmonella osteomyelitis,Salmonella osteomyelitis
248,Local salmonella inf NEC,Other localized salmonella infections
249,Salmonella infection NEC,Other specified salmonella infections
250,Salmonella infection NOS,"Salmonella infection, unspecified"
251,Shigella dysenteriae,Shigella dysenteriae
252,Shigella flexneri,Shigella flexneri
253,Shigella boydii,Shigella boydii
254,Shigella sonnei,Shigella sonnei
255,Shigella infection NEC,Other specified shigella infections
256,Shigellosis NOS,"Shigellosis, unspecified"
257,Staph food poisoning,Staphylococcal food poisoning
258,Botulism food poisoning,Botulism food poisoning
259,Food pois d/t c. perfrin,Food poisoning due to Clostridium perfringens (C. welchii)
260,Food pois: clostrid NEC,Food poisoning due to other Clostridia
261,Food pois: v. parahaem,Food poisoning due to Vibrio parahaemolyticus
262,Food poisn d/t v. vulnif,Food poisoning due to Vibrio vulnificus
263,Bact food poisoning NEC,Other bacterial food poisoning
264,Food poisoning NOS,"Food poisoning, unspecified"
265,Ac amebiasis w/o abscess,Acute amebic dysentery without mention of abscess
266,Chr amebiasis w/o absces,Chronic intestinal amebiasis without mention of abscess
267,Amebic nondysent colitis,Amebic nondysenteric colitis
268,TB fem gen NEC-oth test,"Tuberculosis of other female genital organs, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
269,Gu TB NOS-unspec,"Genitourinary tuberculosis, unspecified, unspecified"
270,Gu TB NOS-no exam,"Genitourinary tuberculosis, unspecified, bacteriological or histological examination not done"
271,Gu TB NOS-exam unkn,"Genitourinary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)"
272,Gu TB NOS-micro dx,"Genitourinary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy"
273,Gu TB NOS-cult dx,"Genitourinary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
274,Gu TB NOS-histo dx,"Genitourinary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
275,Gu TB NOS-oth test,"Genitourinary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
276,TB skin/subcutan-unspec,"Tuberculosis of skin and subcutaneous cellular tissue, unspecified"
277,TB skin/subcut-no exam,"Tuberculosis of skin and subcutaneous cellular tissue, bacteriological or histological examination not done"
278,TB skin/subcut-exam unkn,"Tuberculosis of skin and subcutaneous cellular tissue, bacteriological or histological examination unknown (at present)"
279,TB skin/subcut-micro dx,"Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli found (in sputum) by microscopy"
280,TB skin/subcut-cult dx,"Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
281,TB skin/subcut-histo dx,"Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
282,TB skin/subcut-oth test,"Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
283,Erythema nodos tb-unspec,"Erythema nodosum with hypersensitivity reaction in tuberculosis, unspecified"
284,Erythem nodos tb-no exam,"Erythema nodosum with hypersensitivity reaction in tuberculosis, bacteriological or histological examination not done"
285,Erythem nod tb-exam unkn,"Erythema nodosum with hypersensitivity reaction in tuberculosis, bacteriological or histological examination unknown (at present)"
